"time","ID","variable","value"
2012,"4Vn","BiomassFlatfish",12102220.34
2013,"4Vn","BiomassFlatfish",8644876.364
2014,"4Vn","BiomassFlatfish",5928851.05
2015,"4Vn","BiomassFlatfish",8058793.569
1970,"4Vn","BiomassFlatfish_s",-0.448490705
1971,"4Vn","BiomassFlatfish_s",0.274388881
1972,"4Vn","BiomassFlatfish_s",1.165619537
1973,"4Vn","BiomassFlatfish_s",-0.411859356
1974,"4Vn","BiomassFlatfish_s",3.942324572
1975,"4Vn","BiomassFlatfish_s",0.411283
1976,"4Vn","BiomassFlatfish_s",0.48949379
1977,"4Vn","BiomassFlatfish_s",1.046715173
1978,"4Vn","BiomassFlatfish_s",-0.745805911
1979,"4Vn","BiomassFlatfish_s",0.052805619
1980,"4Vn","BiomassFlatfish_s",1.381881471
1981,"4Vn","BiomassFlatfish_s",0.926809961
1982,"4Vn","BiomassFlatfish_s",-0.494426967
1983,"4Vn","BiomassFlatfish_s",-0.06226106
1984,"4Vn","BiomassFlatfish_s",1.308566837
1985,"4Vn","BiomassFlatfish_s",-1.001142203
1986,"4Vn","BiomassFlatfish_s",-0.240880468
1987,"4Vn","BiomassFlatfish_s",-0.410216639
1988,"4Vn","BiomassFlatfish_s",-0.782222469
1989,"4Vn","BiomassFlatfish_s",-0.737814471
1990,"4Vn","BiomassFlatfish_s",-0.194200928
1991,"4Vn","BiomassFlatfish_s",-0.153924198
1992,"4Vn","BiomassFlatfish_s",-1.212317779
1993,"4Vn","BiomassFlatfish_s",-0.569276336
1994,"4Vn","BiomassFlatfish_s",0.143327627
1995,"4Vn","BiomassFlatfish_s",-0.088243538
1996,"4Vn","BiomassFlatfish_s",0.171560201
1997,"4Vn","BiomassFlatfish_s",0.341737974
1998,"4Vn","BiomassFlatfish_s",1.23604203
1999,"4Vn","BiomassFlatfish_s",-0.280152986
2000,"4Vn","BiomassFlatfish_s",-0.739198946
2001,"4Vn","BiomassFlatfish_s",-0.172715183
2002,"4Vn","BiomassFlatfish_s",-0.916245896
2003,"4Vn","BiomassFlatfish_s",0.279780942
2004,"4Vn","BiomassFlatfish_s",-0.636282742
2005,"4Vn","BiomassFlatfish_s",0.075194521
2006,"4Vn","BiomassFlatfish_s",-0.75568653
2007,"4Vn","BiomassFlatfish_s",-0.909706843
2008,"4Vn","BiomassFlatfish_s",-0.077747153
2009,"4Vn","BiomassFlatfish_s",2.884701638
2010,"4Vn","BiomassFlatfish_s",-0.648349243
2011,"4Vn","BiomassFlatfish_s",-0.362486094
2012,"4Vn","BiomassFlatfish_s",-0.358709324
2013,"4Vn","BiomassFlatfish_s",-0.774815609
2014,"4Vn","BiomassFlatfish_s",-1.101700991
2015,"4Vn","BiomassFlatfish_s",-0.845353206
1970,"4Vn","BiomassForage",285074514
1971,"4Vn","BiomassForage",100032278
1972,"4Vn","BiomassForage",90963460
1973,"4Vn","BiomassForage",491458695
1974,"4Vn","BiomassForage",904006
1975,"4Vn","BiomassForage",36360698
1976,"4Vn","BiomassForage",53464601
1977,"4Vn","BiomassForage",37133225
1978,"4Vn","BiomassForage",987900
1979,"4Vn","BiomassForage",43523328
1980,"4Vn","BiomassForage",444589
1981,"4Vn","BiomassForage",68811060
1982,"4Vn","BiomassForage",12685887
1983,"4Vn","BiomassForage",34414010
1984,"4Vn","BiomassForage",70867349
1985,"4Vn","BiomassForage",29367005
1986,"4Vn","BiomassForage",8854652
1987,"4Vn","BiomassForage",1634605141
1988,"4Vn","BiomassForage",3966390
1989,"4Vn","BiomassForage",65854909
1990,"4Vn","BiomassForage",402895
1991,"4Vn","BiomassForage",182396917
1992,"4Vn","BiomassForage",26807595
1993,"4Vn","BiomassForage",16706136
1994,"4Vn","BiomassForage",345715721
1995,"4Vn","BiomassForage",73141967
1996,"4Vn","BiomassForage",192100121
1997,"4Vn","BiomassForage",549274
1998,"4Vn","BiomassForage",210389384
1999,"4Vn","BiomassForage",353462102
2000,"4Vn","BiomassForage",15680353
2001,"4Vn","BiomassForage",778697442
2002,"4Vn","BiomassForage",27983315
2003,"4Vn","BiomassForage",42359065
2004,"4Vn","BiomassForage",19024588
2005,"4Vn","BiomassForage",117033381
2006,"4Vn","BiomassForage",122560008
2007,"4Vn","BiomassForage",14787825
2008,"4Vn","BiomassForage",13076564
2009,"4Vn","BiomassForage",97234313
2010,"4Vn","BiomassForage",19155193
2011,"4Vn","BiomassForage",116489375
2012,"4Vn","BiomassForage",48126587
2013,"4Vn","BiomassForage",245868350
2014,"4Vn","BiomassForage",53869388
2015,"4Vn","BiomassForage",53311627
1970,"4Vn","BiomassForage_s",0.551973573
1971,"4Vn","BiomassForage_s",-0.133246832
1972,"4Vn","BiomassForage_s",-0.166829106
1973,"4Vn","BiomassForage_s",1.316224238
1974,"4Vn","BiomassForage_s",-0.500323647
1975,"4Vn","BiomassForage_s",-0.369025791
1976,"4Vn","BiomassForage_s",-0.305689206
1977,"4Vn","BiomassForage_s",-0.366165086
1978,"4Vn","BiomassForage_s",-0.500012983
1979,"4Vn","BiomassForage_s",-0.342502223
1980,"4Vn","BiomassForage_s",-0.50202489
1981,"4Vn","BiomassForage_s",-0.248860521
1982,"4Vn","BiomassForage_s",-0.456694768
1983,"4Vn","BiomassForage_s",-0.376234471
1984,"4Vn","BiomassForage_s",-0.241245983
1985,"4Vn","BiomassForage_s",-0.394923776
1986,"4Vn","BiomassForage_s",-0.470882018
1987,"4Vn","BiomassForage_s",5.549351155
1988,"4Vn","BiomassForage_s",-0.48898349
1989,"4Vn","BiomassForage_s",-0.259807292
1990,"4Vn","BiomassForage_s",-0.502179285
1991,"4Vn","BiomassForage_s",0.171753434
1992,"4Vn","BiomassForage_s",-0.404401396
1993,"4Vn","BiomassForage_s",-0.44180759
1994,"4Vn","BiomassForage_s",0.776530913
1995,"4Vn","BiomassForage_s",-0.232822962
1996,"4Vn","BiomassForage_s",0.207684871
1997,"4Vn","BiomassForage_s",-0.501637237
1998,"4Vn","BiomassForage_s",0.275410902
1999,"4Vn","BiomassForage_s",0.805216139
2000,"4Vn","BiomassForage_s",-0.445606115
2001,"4Vn","BiomassForage_s",2.379883295
2002,"4Vn","BiomassForage_s",-0.400047648
2003,"4Vn","BiomassForage_s",-0.346813546
2004,"4Vn","BiomassForage_s",-0.43322225
2005,"4Vn","BiomassForage_s",-0.07029092
2006,"4Vn","BiomassForage_s",-0.049825551
2007,"4Vn","BiomassForage_s",-0.448911189
2008,"4Vn","BiomassForage_s",-0.455248072
2009,"4Vn","BiomassForage_s",-0.143607832
2010,"4Vn","BiomassForage_s",-0.432738613
2011,"4Vn","BiomassForage_s",-0.072305401
2012,"4Vn","BiomassForage_s",-0.325456131
2013,"4Vn","BiomassForage_s",0.406791239
2014,"4Vn","BiomassForage_s",-0.30419026
2015,"4Vn","BiomassForage_s",-0.306255676
1970,"4Vn","BiomassGadoids",26776382.96
1971,"4Vn","BiomassGadoids",53805308.42
1972,"4Vn","BiomassGadoids",13925491.45
1973,"4Vn","BiomassGadoids",22159265
1974,"4Vn","BiomassGadoids",7945621.996
1975,"4Vn","BiomassGadoids",13579571.58
1976,"4Vn","BiomassGadoids",23426482.24
1977,"4Vn","BiomassGadoids",16674730.69
1978,"4Vn","BiomassGadoids",31444174.64
1979,"4Vn","BiomassGadoids",12018204.29
1980,"4Vn","BiomassGadoids",37521157.55
1981,"4Vn","BiomassGadoids",68718422.22
1982,"4Vn","BiomassGadoids",34371251.7
1983,"4Vn","BiomassGadoids",38774280.93
1984,"4Vn","BiomassGadoids",46896712.2
1985,"4Vn","BiomassGadoids",129924725.7
1986,"4Vn","BiomassGadoids",54933522.14
1987,"4Vn","BiomassGadoids",49689436.17
1988,"4Vn","BiomassGadoids",76477856.57
1989,"4Vn","BiomassGadoids",87288492.35
1990,"4Vn","BiomassGadoids",20661332.89
1991,"4Vn","BiomassGadoids",16451723.9
1992,"4Vn","BiomassGadoids",39941042.61
1993,"4Vn","BiomassGadoids",26861468.24
1994,"4Vn","BiomassGadoids",17427388.8
1995,"4Vn","BiomassGadoids",17708661.55
1996,"4Vn","BiomassGadoids",17728573.02
1997,"4Vn","BiomassGadoids",13820841.46
1998,"4Vn","BiomassGadoids",9442222.745
1999,"4Vn","BiomassGadoids",7613123.343
2000,"4Vn","BiomassGadoids",10253047.76
2001,"4Vn","BiomassGadoids",23855442.92
2002,"4Vn","BiomassGadoids",27788198.11
2003,"4Vn","BiomassGadoids",8538743.938
2004,"4Vn","BiomassGadoids",3556593.773
2005,"4Vn","BiomassGadoids",15666010.35
2006,"4Vn","BiomassGadoids",12366292.11
2007,"4Vn","BiomassGadoids",23336453.04
2008,"4Vn","BiomassGadoids",7486038.502
2009,"4Vn","BiomassGadoids",23272469.01
2010,"4Vn","BiomassGadoids",15275460.57
2011,"4Vn","BiomassGadoids",10729431.1
2012,"4Vn","BiomassGadoids",4003372.997
2013,"4Vn","BiomassGadoids",4264054.645
2014,"4Vn","BiomassGadoids",5768549.32
2015,"4Vn","BiomassGadoids",6639004.778
1970,"4Vn","BiomassGadoids_s",-0.004445215
